best_action_reward%nearest_hospital_reward%start_state_latlon
0.3511418035407322%0.3368777388874526%(37.738611111084246, -122.45999999995536)
0.33189731104809406%0.32879139711481176%(38.09833333330676, -122.21583333328849)
0.3289121417322437%0.25651468320192755%(37.96666666663998, -122.50111111106648)
0.24418294143999997%0.24418294143999997%(38.08777777775119, -122.20083333328849)
0.3370749010927708%0.32743806804298453%(37.74499999997314, -122.44444444439978)
0.31921979228417746%0.256032852160611%(38.09999999997342, -122.60138888884435)
0.3381000758572719%0.32656010763162074%(37.76999999997316, -122.42999999995531)
0.315517630718108%0.24418294143999997%(38.25611111108466, -122.02305555551057)
0.322875241375437%0.322875241375437%(37.97416666663999, -122.022499999955)
0.3152858187546082%0.24418294143999997%(37.82944444441765, -121.96583333328827)
0.24418294143999997%0.24418294143999997%(37.77805555552872, -122.27027777773296)
0.24418294143999997%0.24418294143999997%(37.774722222195386, -122.43361111106644)
0.3430120734342343%0.2657306029960908%(37.89527777775104, -122.48805555551093)
0.24418294143999997%0.24418294143999997%(37.77805555552872, -122.4847222221776)
0.3438394438253156%0.33171369074872237%(37.762222222195376, -122.39611111106642)
0.24418294143999997%0.24418294143999997%(37.67277777775086, -121.78166666662148)
0.33390594650695704%0.32176990607075917%(37.77499999997316, -122.39972222217752)
0.32582724891722764%0.2646501619016375%(37.66611111108418, -122.49055555551094)
0.24418294143999997%0.24418294143999997%(37.534999999972975, -122.35527777773304)
0.24418294143999997%0.24418294143999997%(37.52499999997296, -121.99083333328832)
0.3426929883482586%0.3279194753208891%(37.87166666663991, -122.02083333328834)
0.24418294143999997%0.24418294143999997%(37.789999999973176, -122.41166666662198)
0.31750094466200063%0.24418294143999997%(37.69305555552865, -121.73638888884366)
0.35819435520922754%0.35819435520922754%(37.436388888861785, -121.87888888884378)
0.34109249034268674%0.32401756523136643%(37.53249999997297, -121.96666666662162)
0.252017962654693%0.24418294143999997%(37.86527777775101, -122.50444444439984)
0.33017380367860055%0.3266245350434583%(37.34416666663949, -122.08611111106616)
0.24418294143999997%0.24418294143999997%(37.66638888886197, -122.48833333328872)
0.24418294143999997%0.24418294143999997%(37.82361111108431, -122.01944444439944)
0.24418294143999997%0.24418294143999997%(37.49222222219516, -122.2344444443996)
0.31990573712691844%0.24418294143999997%(38.1166666666401, -122.2269444443996)
0.33197333470030593%0.33197333470030593%(37.4563888888618, -121.87888888884378)
0.24418294143999997%0.24418294143999997%(38.304166666640256, -122.48861111106648)
0.32183906232014386%0.24418294143999997%(37.64222222219528, -122.09999999995506)
0.24418294143999997%0.24418294143999997%(38.03388888886226, -121.88666666662157)
0.24418294143999997%0.24418294143999997%(37.39722222219508, -122.09694444439953)
0.24418294143999997%0.24418294143999997%(38.02055555552892, -121.89333333328824)
0.3462309828074782%0.3319152122428617%(37.90361111108438, -122.30083333328857)
0.34030664433922725%0.3260439691451078%(37.73805555552869, -122.46638888884424)
0.24418294143999997%0.24418294143999997%(38.01111111108446, -122.11194444439953)
0.32064949448428975%0.2581240108199123%(37.38916666663952, -122.01027777773275)
0.331294730772814%0.31642320917469974%(37.50972222219517, -122.31944444439968)
0.3386175068325369%0.3224609712000781%(37.5511111110841, -122.00972222217722)
0.32904141494895794%0.32904141494895794%(38.00499999997335, -122.03194444439946)
0.24418294143999997%0.24418294143999997%(37.830277777750986, -122.017499999955)
0.3292949736803779%0.31987485113900277%(37.955277777751085, -122.04166666662168)
0.31856981128732104%0.24418294143999997%(37.77305555552872, -122.28194444439966)
0.34835170748214866%0.3385175767976284%(37.75138888886203, -122.446666666622)
0.24418294143999997%0.24418294143999997%(37.80166666663985, -122.43027777773312)
0.24418294143999997%0.24418294143999997%(37.65388888886196, -122.05249999995505)
0.3346215514862774%0.32234985138743183%(37.752499999973146, -122.43388888884422)
0.24418294143999997%0.24418294143999997%(38.10083333330676, -122.2333333332885)
0.24418294143999997%0.24418294143999997%(37.682777777750864, -122.05916666662168)
0.24418294143999997%0.24418294143999997%(38.29944444441803, -122.46527777773314)
0.3530552628374911%0.3372705351729875%(37.553611111084095, -121.9997222221772)
0.24418294143999997%0.24418294143999997%(38.08555555552897, -122.14166666662176)
0.3180798465562171%0.2571902666318163%(37.63333333330638, -122.40777777773307)
