best_action_reward%nearest_hospital_reward%start_state_latlon
0.3445023758972351%0.34220383608865285%(41.600277777754, -71.52249999991461)
0.3347110477037595%0.3304918866598573%(41.56055555553174, -71.62416666658136)
0.24418294143999997%0.24418294143999997%(41.787777777754144, -71.36083333324783)
0.31780101771134495%0.24418294143999997%(41.791388888865264, -71.39444444435895)
0.33773591382032925%0.3236481458683589%(41.80833333330972, -71.45416666658123)
0.24418294143999997%0.24418294143999997%(41.401666666642726, -71.54138888880352)
0.3218693201343733%0.24418294143999997%(41.82083333330973, -71.36944444435893)
0.34437007664336994%0.34437007664336994%(41.38666666664272, -71.73888888880367)
0.3436818920201081%0.3436818920201081%(41.85833333330976, -71.61277777769247)
0.31752237907388137%0.24418294143999997%(41.83666666664308, -71.4811111110257)
0.31760790236368863%0.24418294143999997%(41.84999999997642, -71.73749999991479)
0.24418294143999997%0.24418294143999997%(41.546111111087285, -71.37583333324783)
0.31534196300076783%0.24418294143999997%(41.83138888886529, -71.43611111102565)
0.3324682265383516%0.32983450405242565%(41.86055555553198, -71.38416666658117)
0.3409080466100879%0.3369859868968347%(41.80527777775416, -71.43361111102566)
0.33401181310486006%0.3228859467649383%(41.51361111108726, -71.29888888880332)
0.318093378163448%0.24418294143999997%(41.99138888886542, -71.53222222213685)
0.35603274131106294%0.3534387758597037%(41.71222222219853, -71.46138888880346)
0.3183614444299134%0.2591615318881092%(42.013055555532105, -71.49999999991459)
0.3539842495304587%0.34052360450193203%(41.744999999976336, -71.35027777769226)
0.24418294143999997%0.24418294143999997%(41.80333333330972, -71.4241666665812)
0.35558891379164115%0.34017880966835595%(41.77916666664303, -71.47694444435902)
0.3164559412697464%0.2546623212932054%(41.80083333330971, -71.42249999991454)
0.32729194221375846%0.32505601238163395%(41.575277777753975, -71.46805555547013)
0.32150549773051157%0.2617020842110944%(42.017222222198775, -71.49722222213681)
0.24418294143999997%0.24418294143999997%(41.865833333309766, -71.461944444359)
0.24418294143999997%0.24418294143999997%(41.65944444442072, -71.18222222213656)
