best_action_reward%nearest_hospital_reward%start_state_latlon
0.3507306841516299%0.3348877264556989%(37.554999999972985, -122.0047222221772)
0.24418294143999997%0.24418294143999997%(37.67694444441753, -122.0955555555106)
0.24418294143999997%0.24418294143999997%(37.95333333330664, -122.06111111106614)
0.35075549177872967%0.3332523605247256%(37.7177777777509, -122.14861111106622)
0.3456711253117859%0.3313197636174472%(37.686944444417534, -122.47527777773314)
0.3457582786248962%0.34442345203073965%(37.657777777750844, -122.424166666622)
0.24418294143999997%0.24418294143999997%(37.78888888886206, -122.21583333328849)
0.24418294143999997%0.24418294143999997%(37.8591666666399, -122.48888888884426)
0.33427442280835246%0.24418294143999997%(37.6483333333064, -122.07749999995504)
0.24418294143999997%0.24418294143999997%(37.98166666664, -121.69638888884364)
0.31730295748261866%0.24418294143999997%(37.653055555528624, -121.88305555551044)
0.32116675873794825%0.24418294143999997%(37.75805555552871, -122.18027777773293)
0.24418294143999997%0.24418294143999997%(37.874722222195466, -122.29555555551076)
0.24418294143999997%0.24418294143999997%(37.39861111108397, -122.09277777773283)
0.351211116546382%0.3362345933434014%(37.562777777750775, -121.97388888884385)
0.31829812051782697%0.24418294143999997%(37.72583333330645, -121.92749999995492)
0.3258893030454774%0.2631745334915492%(37.38111111108396, -122.04666666662168)
0.24418294143999997%0.24418294143999997%(37.68888888886198, -122.04305555551058)
0.3230246132204649%0.24418294143999997%(37.785833333306506, -122.46388888884424)
0.25394366327907253%0.24418294143999997%(37.9286111110844, -122.32833333328858)
0.24418294143999997%0.24418294143999997%(37.77277777775094, -122.13666666662176)
0.24418294143999997%0.24418294143999997%(37.68361111108421, -121.87027777773264)
0.32923166895601963%0.2550313043624937%(37.89527777775104, -122.48805555551093)
0.24418294143999997%0.24418294143999997%(37.51111111108406, -121.9291666666216)
0.24418294143999997%0.24418294143999997%(37.955277777751085, -122.04388888884392)
0.24418294143999997%0.24418294143999997%(38.3313888888625, -122.49277777773317)
0.24418294143999997%0.24418294143999997%(37.752499999973146, -122.42444444439975)
0.33062104070172477%0.33062104070172477%(37.945555555528856, -121.9455555555105)
0.3406435908624415%0.32971454602944544%(37.974722222195545, -122.32583333328856)
0.24418294143999997%0.24418294143999997%(37.99777777775112, -121.68749999995474)
0.24418294143999997%0.24418294143999997%(37.6205555555286, -122.42694444439977)
0.33443191470302774%0.31803934215182744%(37.60749999997303, -122.01888888884388)
0.31708711689762026%0.3155911488291479%(37.93972222219552, -122.35027777773304)
0.24418294143999997%0.24418294143999997%(37.727499999973126, -122.39277777773307)
0.315753746891791%0.24418294143999997%(37.796944444417626, -122.4505555555109)
0.24418294143999997%0.24418294143999997%(38.436111111084806, -121.82527777773262)
0.24418294143999997%0.24418294143999997%(37.78611111108428, -122.42611111106643)
0.24418294143999997%0.24418294143999997%(37.52749999997297, -122.31194444439969)
0.3516464992158666%0.35040075514839497%(37.66444444441752, -122.46277777773314)
0.3297081478957516%0.3176028369848669%(37.7366666666398, -122.41666666662198)
0.3364053710659095%0.327349695571455%(37.951111111084415, -122.03944444439946)
0.33970014283908645%0.31896683357397476%(37.7783333333065, -121.92083333328826)
0.2522983659047439%0.24418294143999997%(37.742499999973134, -122.50194444439984)
0.34395768433213836%0.3324067790443328%(37.790555555528734, -122.419166666622)
0.24418294143999997%0.24418294143999997%(37.46861111108403, -122.24305555551074)
0.34247671915819544%0.32739918959218917%(37.77972222219539, -122.22416666662184)
0.24418294143999997%0.24418294143999997%(37.973333333306655, -122.29555555551076)
0.24418294143999997%0.24418294143999997%(38.25861111108466, -122.02527777773278)
0.3330488313061799%0.24418294143999997%(37.68583333330643, -121.76638888884368)
0.24418294143999997%0.24418294143999997%(37.8944444444177, -122.04944444439948)
0.32528556132470854%0.24418294143999997%(37.96055555552887, -121.81111111106594)
0.24418294143999997%0.24418294143999997%(38.08611111108452, -122.2269444443996)
0.34444834338390184%0.32822937368052274%(37.70611111108422, -122.07083333328838)
0.24418294143999997%0.24418294143999997%(37.77972222219539, -122.28805555551077)
0.3426497988726055%0.3337746037926107%(37.79777777775096, -122.429166666622)
0.24418294143999997%0.24418294143999997%(37.933055555528846, -121.71972222217698)
0.3385992450362504%0.2634746539438866%(38.0333333333067, -122.54194444439986)
0.24418294143999997%0.24418294143999997%(37.941388888862186, -122.02083333328834)
0.24418294143999997%0.24418294143999997%(37.93555555552885, -121.69083333328808)
0.24418294143999997%0.24418294143999997%(37.974722222195545, -121.68749999995474)
0.25182086447152935%0.24418294143999997%(37.73361111108424, -122.38166666662195)
0.32750356447648904%0.24418294143999997%(37.431388888861775, -122.12805555551064)
0.24418294143999997%0.24418294143999997%(37.76666666663982, -122.42333333328864)
