best_action_reward%nearest_hospital_reward%start_state_latlon
0.3328528186810681%0.3319476533687123%(37.657777777750844, -122.40805555551088)
0.24418294143999997%0.24418294143999997%(37.77694444441761, -121.98611111106608)
0.3171649387306905%0.2590869228448046%(37.708611111084224, -122.4530555555109)
0.3468638061963387%0.3367940265870955%(37.86749999997324, -122.2599999999552)
0.34477733018072754%0.330569117346154%(37.3805555555284, -122.156388888844)
0.3169933673348526%0.3169933673348526%(37.450277777750685, -122.26083333328852)
0.3203057154811314%0.24418294143999997%(37.51027777775073, -122.31527777773302)
0.24418294143999997%0.24418294143999997%(37.87527777775102, -122.00527777773276)
0.2518430093783909%0.24418294143999997%(37.77055555552872, -122.17638888884402)
0.3149201272311926%0.24418294143999997%(38.28361111108468, -122.3041666666219)
0.33943180210456214%0.33943180210456214%(37.45694444441735, -121.90749999995492)
0.34036139269899296%0.32643598956088915%(37.40166666663953, -122.07722222217728)
0.2539742663965719%0.24418294143999997%(38.08777777775119, -122.20083333328849)
0.3575519832178914%0.3575519832178914%(37.4777777777507, -122.1599999999551)
0.31537972551593607%0.24418294143999997%(37.8111111110843, -122.24666666662183)
0.3454802045858785%0.335780709468436%(37.90888888886216, -122.00944444439943)
0.24418294143999997%0.24418294143999997%(37.7327777777509, -122.05999999995502)
0.3489412863197269%0.33865003771147717%(37.74833333330648, -122.4772222221776)
0.25458647024453357%0.25458647024453357%(37.66444444441752, -122.46277777773314)
0.3241489376242802%0.2671941927279951%(37.849722222195446, -122.2724999999552)
0.319631675433751%0.24418294143999997%(37.76722222219538, -122.17055555551067)
0.24418294143999997%0.24418294143999997%(38.29888888886247, -122.30722222217746)
0.24418294143999997%0.24418294143999997%(38.266944444418, -122.04944444439948)
0.32543685228087793%0.26775082513227366%(37.83805555552877, -122.25527777773296)
0.33054280103027117%0.3278689592014734%(37.69027777775087, -121.7599999999548)
0.24418294143999997%0.24418294143999997%(37.86805555552879, -122.28499999995522)
0.24418294143999997%0.24418294143999997%(37.98249999997333, -122.580555555511)
0.31882592183102043%0.24418294143999997%(37.71694444441757, -122.1461111110662)
0.3224755528620264%0.2630729670872291%(37.671111111084194, -122.4227777777331)
